Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,,,
3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,,LUAS,JUMLAH,,,,,,,
,NAMA PROVINSI /,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,,
K O D E,KABUPATEN / KOTA,,,,,,,(Km2),(Jiwa) *),,,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,,D E S A,,,,,,,,,
,,,,,,,Tuguis,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,,,
,,,,,,,Togoreba Sungi,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,,,
,,,,,,,Barona,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,,,
,,,,,,,Todoke,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,,,
,,,,,,,Tolisaor,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,,,
,,,,,,,Pasalulu,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,,,
,,,,,,,Togoreba Tua,,,"Menjadi wil. Kec. Ibu Utara, Perda No. 7/2005",,,,,,
